kode_batik,nama_batik,ina_deskripsi,eng_deskripsi
1,Sekar Kemuning,"Dalam masyarakat Jawa, pohon Kemuning (Murraya paniculata) termasuk bunganya merupakan jenis tanaman yang mempunyai makna khusus. Di Kraton Yogyakarta tanaman ini selalu ada ditanam di Komplek Kraton. Kemuning berasal dari kata ning yang mempunyai arti konsentrasi penuh antara rasa dan penalaran yang harus seimbang.

Daun kemuning dipakai sebagai pengisi kasur alas jenazah, bunga kemuning ukurannya kecil dengan warna putih yang beraroma harum pada malam hari. Simbol yang tersirat dalam ragam hias sekar kemuning adalah keseimbangan antara cipta (pemikiran), rasa (kemampuan) lan karsa (sarana) dalam menciptakan kemajuan masyarakat (bangsanya)","In Javanese society, Kemuning trees (Murraya paniculata) including their flowers are plants that have a special meaning. In the Yogyakarta Palace, this plant is always there in the Palace Area. Kemuning comes from the word ning which means in full concentration, a balance between senses and reasoning.

Kemuning leaves are used to fill the mattress for a corpse. The flowers are small in size, white in colour and smell good at night. The symbol implied in the sekar kemuning batik motif is a balance between cipta (thoughts), rasa (ability) and karsa (facility) in creating development in society (the nation)."
2,Ceplok Liring,"Ceplok adalah istilah dalam dunia batik yang mengacu pada penempatan ragam hias secara tidak beraturan dalam satu bidang. Liring dalam bahasa Jawa artinya memandang sesuatu dari arah salah satu sudut mata (tidak total). Motif ini menyampaikan makna normatif bagi manusia, menjelaskan untuk tidak menganggap sepele segala sesuatu, baik perilaku maupun pola pikir dan pendapat seseorang. Hal ini karena ada kemungkinan, hal yang dianggap sepele tersebut memiliki dampak yang besar. Oleh karena itu, sikap hati-hati dan menghargai orang lain harus dikedepankan.","Ceplok is a term in the world of batik, referring to the placement of motifs irregularly on a field. Liring in Javanese means looking at something from one corner of the eye (not fully). This motif conveys a normative meaning for humans, explaining not to take everything for granted, both in terms of a person's behavior, thoughts, and opinions. There is a possibility that things considered trivial may have a big impact. Therefore, a caring attitude and respect for others must be set forth."
3,Sekar Duren,Bunga durian (Durio) disebut dlongop dalam Bahasa Jawa yang berarti sebuah sikap manusia yang menunjukkan tidak sedang dalam suasana berpikir kritis. Ini memberi peringatan kepada kita semua bahwa sikap dlongop kurang terpuji demi masyarakat kreatif karena tidak mendukung timbulnya ide dan inovasi.,"The durian flower (Durio) is called dlongop in Javanese, which means a human attitude that shows not being in an atmosphere of critical thinking. This warns us all that the dlongop attitude is not commendable for a creative community because it does not support the emergence of ideas and innovations."
4,Sekar Gayam,"Gayam dalam masyarakat Jawa mempunyai makna filosofis gayuh yang berarti mencapai cita-cita dan ayem yang berarti tenteram dan damai. Gayam (Inocarpus fagifer) adalah nama pohon yang umumnya tumbuh menjadi pohon besar yang menghasilkan buah yang dapat dimakan dan mengakibatkan rasa kenyang bila dimakan. Pohon gayam dahulu ditanam di Yogyakarta sebagai peneduh pada zaman kerajaan Mataram Islam. Pohon gayam juga tumbuh baik di sekitar mata air alami, sehingga suasana di bawah pohon gayam pasti menyegarkan. Motif batik sekar gayam sebagai simbol dari peneduh yang menimbulkan rasa tenteram (ayem) juga bermakna sebuah pesan agar pemakainya mempunyai tujuan hidup yang menentramkan bagi dia sendiri maupun lingkungannya seperti apa yang diperbuat oleh pohon gayam.","Gayam in the Javanese society has the philosophical meaning of gayuh which means achieving goals and ayem which means serene and peaceful. Gayam (Inocarpus fagifer) is the name of a tree that generally grows big and produces edible fruits, causing a feeling of fullness when eaten. In Yogyakarta, gayam trees were planted as a shade during the Islamic Mataram kingdom. Gayam trees also grow well around natural springs, making the atmosphere under the gayam tree definitely refreshing. The sekar gayam batik motif is a symbol of shade that creates a sense of calm (peaceful). It also carries a message for the wearer to have a purpose in life that is calming both for himself and his environment, just like what a gayam tree does."
5,Sekar Pacar,"Sekar pacar adalah nama ragam hias Nitik yang memiliki makna bahwa orang hidup itu harus berusaha migunani, artinya bermanfaat bagi sesama. Hal ini dapat dijelaskan bahwa bunga tanaman bernama pacar bentuknya sangat kecil, berwarna kuning, membentuk rangkaian yang cukup besar, dan baunya harum. Oleh masyarakat pemeluk agama Hindu, bunga pacar (Impatiens balsamina L.) banyak digunakan dalam berbagai macam upacara yang mereka lakukan.","Sekar pacar is the name of a nitik motif which has a meaning that people must try to be migunani, or useful for others. It can be explained that pacar (henna) flowers are very small, yellow in color, form a fairly large series, and smell good. Hindus use henna flowers (Impatiens balsamina L.) widely in various rituals they conduct."
6,Arumdalu,Sekar Arum Dalu (Cestrum nocturnum) akan mekar pada malam hari dan menyebarkan keharuman di sekelilingnya. Artinya sebagai manusia hendaklah berbuat kebaikan yang berguna terutama untuk masyarakat sekelilingnya tanpa memandang perbedaan yang ada. Ibarat dalam kegelapan malam pun kita harus arif menyikapinya.,"Sekar Arum Dalu (Cestrum nocturnum) will bloom at night and spread its fragrance around. This means that as a human being, one should do good that is useful, especially for the surrounding community, regardless of the differences that exist. Like in the dark of the night, we still have to be wise about it."
7,Sekar Srigading,"Sekar sri gading. Tanaman sri gading (Nyctanthes arbor-tristis) adalah perdu yang menghasilkan bunga yang mekar setelah matahari terbenam berupa bunga berwarna putih dan bertangkai merah yang saat mekar menghasilkan bau yang sangat harum mewangi. Dalam cerita pewayangan, Sri Batara Khresna menyempatkan menanam tanaman sri gading pada perbatasan pekarangan kediaman kedua istrinya yaitu Dewi Rukmini dan Dewi Sathyabama. Begitu keduanya mencium bau harum dari bunga sri gading, yang semula kurang rukun menjadi lebih rukun dalam kehidupan kesehariannya. Sehingga bunga sri gading dianggap sebagai simbol dari kerukunan. Jadi, ragam hias sri gading dapat dimaknai sebagai harapan hidup rukun, tenang, dan damai.","Sekar sri gading. Sri gading (Nyctanthes arbor-tristis) is a shrub that produces flowers that bloom after sunset. The flowers are white with red stems, which produce a very fragrant smell when blooming. In the puppet story, Sri Batara Khresna took the time to plant sri gading on the border of the yards of the residences of his two wives, Dewi Rukmini and Dewi Sathyabama. Once they both smelled the fragrance of the sri gading flowers, the two who were previously less harmonious became more harmonious in their daily lives. Thus, sri gading flowers are considered a symbol of harmony. So, the sri gading motif can be interpreted as a hope of living in peace and harmony."
8,Kemukus,"Lintang kemukus adalah penamaan orang Jawa bagi sebuah bintang berekor yang dapat terlihat di malam hari yang cerah. Munculnya bintang berekor dipercaya sebagai tanda akan munculnya marabahaya, karenanya ragam hias kemukus ini dimaknai sebagai peringatan kepada semua orang bahwa setiap saat haruslah waspada agar selalu siap menghadapi segala kemungkinan yang dapat terjadi.",Lintang kemukus is the Javanese name for the tailed star that can be seen on a clear night. The appearance of a tailed star is believed to be a sign of impending danger. That is why this kemukus motif is interpreted as a warning to people to stay alert at all times so that they are always prepared to face any possibilities that may occur.
9,Sekar Gudhe,"Kembang gudhe (Cajanus cajan) adalah bunga tanaman gudhe. Gudhe adalah keluarga kacang-kacangan yang kulitnya berwarna ungu dengan bentuk segitiga. Dalam kuliner Jawa, gudhe sering dimasak bersama kelapa parut yang diberi nama bongko. Bongko, bersama dengan hidangan lain seperti ayung-ayung, pelas, dan bothok, merupakan kelengkapan upacara tradisional khas Jawa. Daunnya tidak biasa dimakan sehingga sering dibenamkan dalam tanah sebagai pupuk. Bongko merupakan makanan yang kaya protein nabati dan lemak nabati sehingga merupakan makanan sehat. Motif sekar gudhe merupakan simbol agar hidup manusia bermanfaat bagi sesama (migunani) seperti yang ditunjukkan oleh kacang gudhe dan kelapa bagi manusia. ","Gudhe flowers (Cajanus cajan) are the flowers of gudhe plants. Gudhe is a legume family whose skin is purple and has a triangular shape. In Javanese cuisine, gudhe is often cooked with grated coconut called bongko. Bongko, together with other dishes such as ayung-ayung, pelas, and bothok, are part of the completeness of Javanese traditional ceremonies. The leaves are not commonly consumed, so they are often buried in the soil as fertilizers. Bongko is a source of vegetable protein and fat, making it a healthy food. The sekar gudhe motif symbolizes that human life should be beneficial for others (migunani), as shown by the gudhe beans and the coconut for humans. "
10,Sekar Ketongkeng,Adalah sejenis anggrek (Scorpions orchid) yang bunganya menyerupai kalajengking (Jawa: ketongkeng). ,"It is a type of orchid (Scorpions orchid) whose flowers resemble a scorpion (Javanese: ketongkeng).
"
